,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject: Transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Air Transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Air Cargo Tonnage, Monthly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 31/01/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: CIVIL AVIATION AUTHORITY OF SINGAPORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tonne
Data Series,2021 Dec,2021 Nov,2021 Oct,2021 Sep,2021 Aug,2021 Jul,2021 Jun,2021 May,2021 Apr,2021 Mar,2021 Feb,2021 Jan,2020 Dec,2020 Nov,2020 Oct,2020 Sep,2020 Aug,2020 Jul,2020 Jun,2020 May,2020 Apr,2020 Mar,2020 Feb,2020 Jan,2019 Dec,2019 Nov,2019 Oct,2019 Sep,2019 Aug,2019 Jul,2019 Jun,2019 May,2019 Apr,2019 Mar,2019 Feb,2019 Jan,2018 Dec,2018 Nov,2018 Oct,2018 Sep,2018 Aug,2018 Jul,2018 Jun,2018 May,2018 Apr,2018 Mar,2018 Feb,2018 Jan,2017 Dec,2017 Nov,2017 Oct,2017 Sep,2017 Aug,2017 Jul,2017 Jun,2017 May,2017 Apr,2017 Mar,2017 Feb,2017 Jan,2016 Dec,2016 Nov,2016 Oct,2016 Sep,2016 Aug,2016 Jul,2016 Jun,2016 May,2016 Apr,2016 Mar,2016 Feb,2016 Jan,2015 Dec,2015 Nov,2015 Oct,2015 Sep,2015 Aug,2015 Jul,2015 Jun,2015 May,2015 Apr,2015 Mar,2015 Feb,2015 Jan,2014 Dec,2014 Nov,2014 Oct,2014 Sep,2014 Aug,2014 Jul,2014 Jun,2014 May,2014 Apr,2014 Mar,2014 Feb,2014 Jan,2013 Dec,2013 Nov,2013 Oct,2013 Sep,2013 Aug,2013 Jul,2013 Jun,2013 May,2013 Apr,2013 Mar,2013 Feb,2013 Jan,2012 Dec,2012 Nov,2012 Oct,2012 Sep,2012 Aug,2012 Jul,2012 Jun,2012 May,2012 Apr,2012 Mar,2012 Feb,2012 Jan,2011 Dec,2011 Nov,2011 Oct,2011 Sep,2011 Aug,2011 Jul,2011 Jun,2011 May,2011 Apr,2011 Mar,2011 Feb,2011 Jan,2010 Dec,2010 Nov,2010 Oct,2010 Sep,2010 Aug,2010 Jul,2010 Jun,2010 May,2010 Apr,2010 Mar,2010 Feb,2010 Jan,2009 Dec,2009 Nov,2009 Oct,2009 Sep,2009 Aug,2009 Jul,2009 Jun,2009 May,2009 Apr,2009 Mar,2009 Feb,2009 Jan,2008 Dec,2008 Nov,2008 Oct,2008 Sep,2008 Aug,2008 Jul,2008 Jun,2008 May,2008 Apr,2008 Mar,2008 Feb,2008 Jan,2007 Dec,2007 Nov,2007 Oct,2007 Sep,2007 Aug,2007 Jul,2007 Jun,2007 May,2007 Apr,2007 Mar,2007 Feb,2007 Jan,2006 Dec,2006 Nov,2006 Oct,2006 Sep,2006 Aug,2006 Jul,2006 Jun,2006 May,2006 Apr,2006 Mar,2006 Feb,2006 Jan,2005 Dec,2005 Nov,2005 Oct,2005 Sep,2005 Aug,2005 Jul,2005 Jun,2005 May,2005 Apr,2005 Mar,2005 Feb,2005 Jan,2004 Dec,2004 Nov,2004 Oct,2004 Sep,2004 Aug,2004 Jul,2004 Jun,2004 May,2004 Apr,2004 Mar,2004 Feb,2004 Jan,2003 Dec,2003 Nov,2003 Oct,2003 Sep,2003 Aug,2003 Jul,2003 Jun,2003 May,2003 Apr,2003 Mar,2003 Feb,2003 Jan,2002 Dec,2002 Nov,2002 Oct,2002 Sep,2002 Aug,2002 Jul,2002 Jun,2002 May,2002 Apr,2002 Mar,2002 Feb,2002 Jan,2001 Dec,2001 Nov,2001 Oct,2001 Sep,2001 Aug,2001 Jul,2001 Jun,2001 May,2001 Apr,2001 Mar,2001 Feb,2001 Jan,2000 Dec,2000 Nov,2000 Oct,2000 Sep,2000 Aug,2000 Jul,2000 Jun,2000 May,2000 Apr,2000 Mar,2000 Feb,2000 Jan
Total,"183,824.0","177,416.0","182,035.0","171,303.0","165,475.0","163,550.0","160,959.0","159,727.0","155,141.0","157,387.0","123,914.0","145,957.0","147,676.0","140,030.0","129,083.0","124,524.0","120,115.0","118,912.0","111,665.0","103,122.0","95,838.0","149,444.0","146,828.0","156,865.0","174,697.0","177,532.0","169,689.0","170,234.0","169,032.0","170,226.0","161,880.0","171,756.0","156,480.0","184,764.0","136,504.0","171,304.0","181,618.0","189,150.0","189,786.0","184,707.0","183,756.0","183,337.0","170,551.0","180,488.0","179,411.0","187,547.0","148,934.0","175,594.0","188,742.0","191,677.0","185,829.0","183,559.0","180,594.0","179,550.0","172,040.0","177,336.0","171,716.0","188,626.0","146,866.0","158,691.0","177,355.0","173,174.0","176,958.0","167,102.0","163,146.0","161,446.0","163,070.0","157,513.0","164,531.0","171,182.0","136,096.0","157,859.0","163,639.0","160,482.0","162,495.0","155,058.0","151,647.0","147,527.0","151,304.0","157,046.0","153,448.0","162,660.0","135,965.0","151,814.0","158,629.0","156,535.0","159,695.0","147,780.0","156,030.0","155,017.0","154,729.0","157,499.0","151,069.0","169,749.0","126,759.0","150,308.0","156,423.0","160,007.0","156,336.0","151,815.0","149,873.0","158,874.0","155,106.0","152,193.0","150,135.0","171,922.0","130,244.0","144,774.0","157,018.0","156,346.0","153,625.0","155,834.0","150,753.0","157,172.0","153,330.0","152,884.0","148,243.0","163,170.0","143,903.0","136,843.0","166,607.0","160,206.0","163,114.0","154,359.0","153,120.0","160,120.0","153,208.0","157,286.0","155,812.0","166,148.0","128,048.0","147,224.0","155,832.0","153,180.0","162,408.0","151,055.0","154,513.0","158,199.0","149,827.0","153,098.0","146,849.0","157,211.0","130,578.0","141,060.0","149,726.0","152,567.0","154,377.0","140,790.0","140,818.0","141,541.0","132,492.0","133,442.0","126,293.0","132,369.0","112,418.0","116,961.0","129,462.0","145,815.0","151,278.0","160,899.0","162,918.0","162,776.0","159,065.0","160,119.0","158,041.0","169,380.0","142,358.0","154,828.0","164,691.0","169,881.0","164,386.0","164,422.0","161,586.0","158,940.0","157,843.0","150,215.0","154,124.0","168,518.0","136,561.0","143,599.0","165,740.0","172,463.0","162,502.0","165,053.0","157,096.0","158,262.0","155,230.0","154,678.0","157,340.0","176,349.0","140,176.0","146,325.0","166,062.0","160,357.0","170,118.0","160,194.0","152,381.0","154,830.0","149,872.0","145,267.0","150,066.0","155,423.0","127,491.0","141,661.0","153,512.0","149,297.0","161,287.0","155,802.0","147,398.0","151,494.0","149,699.0","147,718.0","142,513.0","156,032.0","136,378.0","123,962.0","141,458.0","143,868.0","150,641.0","141,322.0","132,846.0","130,797.0","127,175.0","125,909.0","129,669.0","145,295.0","115,585.0","126,841.0","135,989.0","145,988.0","147,325.0","138,893.0","138,618.0","138,535.0","141,246.0","134,925.0","134,568.0","146,873.0","115,464.0","119,374.0","127,995.0","130,234.0","130,741.0","128,242.0","127,929.0","121,135.0","122,891.0","120,527.0","120,744.0","137,646.0","123,132.0","115,847.0","141,361.0","145,841.0","149,912.0","148,364.0","144,776.0","146,688.0","140,090.0","137,665.0","137,465.0","147,184.0","122,269.0","120,874.0"
  Imports,"93,880.0","91,447.0","93,359.0","88,681.0","86,774.0","86,695.0","84,403.0","83,404.0","80,382.0","82,566.0","63,596.0","76,617.0","78,061.0","74,240.0","67,102.0","65,209.0","62,876.0","62,660.0","58,680.0","55,798.0","53,217.0","83,425.0","79,361.0","83,949.0","93,786.0","95,058.0","93,855.0","91,560.0","91,886.0","91,891.0","86,556.0","90,606.0","81,186.0","99,805.0","74,523.0","93,028.0","98,330.0","103,297.0","102,006.0","98,633.0","99,782.0","98,504.0","92,080.0","96,753.0","96,728.0","102,428.0","80,249.0","95,974.0","102,536.0","104,094.0","100,033.0","99,228.0","97,761.0","96,410.0","92,154.0","96,958.0","94,333.0","103,454.0","80,438.0","88,349.0","97,505.0","94,516.0","96,388.0","90,914.0","89,609.0","89,264.0","89,695.0","88,582.0","90,487.0","94,346.0","75,421.0","87,273.0","89,302.0","87,839.0","88,227.0","84,352.0","82,970.0","83,093.0","82,191.0","86,951.0","83,906.0","89,020.0","75,577.0","81,868.0","85,783.0","80,860.0","86,550.0","83,012.0","84,774.0","85,558.0","84,215.0","86,679.0","82,325.0","93,187.0","69,580.0","82,037.0","85,180.0","86,645.0","85,076.0","81,925.0","81,808.0","86,847.0","84,160.0","83,107.0","80,847.0","92,352.0","70,381.0","77,480.0","84,450.0","84,085.0","81,872.0","82,879.0","80,483.0","83,923.0","82,126.0","81,679.0","78,613.0","87,084.0","76,678.0","71,971.0","88,164.0","84,790.0","86,053.0","81,046.0","81,566.0","85,423.0","80,432.0","83,185.0","81,936.0","85,849.0","67,217.0","77,448.0","80,242.0","79,102.0","83,621.0","77,525.0","81,119.0","82,864.0","77,573.0","79,865.0","76,567.0","81,577.0","68,237.0","73,111.0","75,484.0","78,345.0","77,921.0","71,974.0","73,312.0","73,599.0","70,425.0","70,592.0","64,887.0","68,856.0","59,129.0","62,147.0","66,978.0","75,315.0","77,496.0","80,330.0","83,782.0","83,579.0","82,623.0","82,736.0","79,834.0","86,898.0","73,582.0","78,786.0","84,034.0","86,056.0","83,477.0","82,860.0","81,941.0","81,309.0","83,443.0","76,507.0","77,386.0","84,747.0","69,464.0","72,649.0","83,946.0","85,273.0","81,113.0","81,586.0","79,366.0","79,976.0","77,641.0","77,563.0","78,714.0","86,437.0","69,017.0","72,244.0","80,121.0","75,146.0","81,073.0","77,368.0","74,150.0","76,296.0","73,215.0","71,766.0","74,176.0","75,610.0","63,528.0","69,692.0","73,996.0","73,059.0","79,469.0","75,690.0","72,406.0","75,399.0","72,388.0","73,942.0","70,276.0","75,464.0","67,524.0","60,969.0","69,439.0","70,356.0","73,101.0","68,008.0","66,107.0","65,411.0","64,636.0","64,516.0","64,548.0","73,118.0","59,194.0","64,622.0","69,856.0","72,705.0","73,929.0","69,676.0","70,257.0","69,987.0","71,239.0","69,868.0","68,846.0","75,412.0","61,347.0","61,368.0","65,904.0","65,878.0","66,969.0","65,900.0","66,837.0","64,393.0","64,579.0","63,725.0","63,539.0","69,790.0","62,492.0","60,632.0","73,213.0","73,779.0","75,362.0","73,351.0","71,890.0","76,466.0","70,702.0","69,244.0","67,743.0","72,265.0","61,985.0","62,269.0"
  Exports,"89,944.0","85,969.0","88,676.0","82,621.0","78,701.0","76,855.0","76,556.0","76,323.0","74,759.0","74,822.0","60,318.0","69,340.0","69,615.0","65,789.0","61,981.0","59,315.0","57,239.0","56,252.0","52,985.0","47,324.0","42,620.0","66,019.0","67,467.0","72,916.0","80,911.0","82,474.0","75,834.0","78,673.0","77,145.0","78,335.0","75,324.0","81,150.0","75,294.0","84,959.0","61,980.0","78,276.0","83,289.0","85,854.0","87,780.0","86,074.0","83,974.0","84,833.0","78,471.0","83,735.0","82,682.0","85,119.0","68,685.0","79,619.0","86,206.0","87,582.0","85,796.0","84,331.0","82,833.0","83,141.0","79,886.0","80,378.0","77,383.0","85,172.0","66,427.0","70,342.0","79,850.0","78,658.0","80,570.0","76,188.0","73,537.0","72,182.0","73,376.0","68,931.0","74,044.0","76,837.0","60,675.0","70,586.0","74,337.0","72,643.0","74,269.0","70,706.0","68,677.0","64,434.0","69,113.0","70,096.0","69,541.0","73,639.0","60,389.0","69,946.0","72,845.0","75,676.0","73,145.0","64,768.0","71,255.0","69,460.0","70,514.0","70,821.0","68,744.0","76,563.0","57,179.0","68,271.0","71,244.0","73,362.0","71,261.0","69,889.0","68,065.0","72,027.0","70,947.0","69,085.0","69,289.0","79,570.0","59,863.0","67,294.0","72,568.0","72,261.0","71,752.0","72,955.0","70,270.0","73,248.0","71,204.0","71,205.0","69,631.0","76,086.0","67,225.0","64,872.0","78,443.0","75,416.0","77,061.0","73,313.0","71,554.0","74,697.0","72,776.0","74,101.0","73,875.0","80,299.0","60,831.0","69,775.0","75,590.0","74,078.0","78,787.0","73,530.0","73,394.0","75,336.0","72,254.0","73,233.0","70,282.0","75,634.0","62,340.0","67,948.0","74,241.0","74,222.0","76,456.0","68,815.0","67,506.0","67,941.0","62,066.0","62,850.0","61,406.0","63,514.0","53,289.0","54,814.0","62,484.0","70,500.0","73,782.0","80,569.0","79,136.0","79,197.0","76,442.0","77,384.0","78,207.0","82,482.0","68,777.0","76,042.0","80,658.0","83,826.0","80,909.0","81,562.0","79,645.0","77,631.0","74,400.0","73,708.0","76,738.0","83,772.0","67,097.0","70,950.0","81,794.0","87,191.0","81,390.0","83,467.0","77,730.0","78,286.0","77,589.0","77,115.0","78,627.0","89,912.0","71,159.0","74,081.0","85,941.0","85,211.0","89,045.0","82,825.0","78,232.0","78,533.0","76,657.0","73,501.0","75,889.0","79,814.0","63,963.0","71,969.0","79,515.0","76,238.0","81,818.0","80,111.0","74,992.0","76,094.0","77,311.0","73,776.0","72,236.0","80,568.0","68,855.0","62,993.0","72,019.0","73,512.0","77,541.0","73,314.0","66,739.0","65,386.0","62,540.0","61,393.0","65,121.0","72,176.0","56,391.0","62,219.0","66,133.0","73,283.0","73,396.0","69,217.0","68,361.0","68,547.0","70,007.0","65,056.0","65,722.0","71,461.0","54,117.0","58,006.0","62,092.0","64,355.0","63,773.0","62,342.0","61,092.0","56,742.0","58,311.0","56,802.0","57,205.0","67,855.0","60,640.0","55,215.0","68,148.0","72,061.0","74,550.0","75,013.0","72,886.0","70,222.0","69,388.0","68,421.0","69,722.0","74,920.0","60,284.0","58,605.0"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Refers to Changi Airport only.  Data exclude passenger baggage, diplomatic cargo and aircraft stores.  Data provided are based on flight origin/destination.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total (Tonne):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total is the sum of Imports and Exports. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
